name,aa_A,aa_C,aa_D,aa_E,aa_F,aa_G,aa_H,aa_I,aa_K,aa_L,aa_M,aa_N,aa_P,aa_Q,aa_R,aa_S,aa_T,aa_V,aa_W,aa_Y,seq_len,isoelectric_point,molecular_weight,triplet_MYG,triplet_TYG,triplet_GYG,triplet_QYG,triplet_SYG,triplet_HYG,triplet_unknown,triplet_CYG,triplet_TWG,triplet_AYG,triplet_SHG,triplet_DYG,triplet_SWG,triplet_KYG,triplet_LYG,triplet_EYG,triplet_LFG,triplet_NYG,triplet_QWG,triplet_LLG,triplet_AWG,triplet_THG,triplet_FYG,triplet_GZG,triplet_QFG,triplet_RYG,triplet_GAG,triplet_NIG,triplet_LHG,triplet_MWG,triplet_SYA,oligo_m,oligo_d,oligo_t,oligo_wd,oligo_other,switch_b,switch_ps,switch_pa,switch_pc,switch_other
EBFP2,0.03347280334728033,0.008368200836820083,0.07112970711297072,0.06694560669456066,0.05439330543933055,0.09205020920502092,0.04184100418410042,0.04602510460251046,0.08368200836820083,0.08786610878661087,0.02510460251046025,0.0502092050209205,0.04184100418410042,0.03347280334728033,0.03347280334728033,0.04184100418410042,0.06694560669456066,0.08368200836820083,0.0041841004184100415,0.03347280334728033,239.0,6.057638359069824,26904.233600000018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mRFP1,0.05333333333333334,0.0,0.06222222222222222,0.09777777777777778,0.044444444444444446,0.10222222222222223,0.022222222222222223,0.04,0.09777777777777778,0.05333333333333334,0.04,0.017777777777777778,0.05333333333333334,0.035555555555555556,0.04,0.05333333333333334,0.06222222222222222,0.06222222222222222,0.013333333333333334,0.04888888888888889,225.0,5.653058433532714,25423.409100000004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
frSkylan-S,0.05726872246696035,0.00881057268722467,0.07488986784140969,0.06167400881057269,0.05726872246696035,0.09251101321585903,0.03524229074889868,0.04405286343612335,0.0881057268722467,0.06167400881057269,0.03524229074889868,0.05286343612334802,0.048458149779735685,0.01762114537444934,0.048458149779735685,0.03524229074889868,0.05726872246696035,0.06167400881057269,0.00881057268722467,0.05286343612334802,227.0,7.09421100616455,25847.002300000015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
PdaC1,0.04054054054054054,0.013513513513513514,0.04054054054054054,0.06756756756756757,0.08108108108108109,0.0945945945945946,0.04054054054054054,0.04054054054054054,0.08108108108108109,0.05855855855855856,0.04054054054054054,0.04504504504504504,0.05405405405405406,0.02702702702702703,0.03153153153153153,0.06306306306306306,0.07207207207207207,0.06306306306306306,0.013513513513513514,0.03153153153153153,222.0,7.758090400695801,25092.337900000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
pHluorin2,0.03361344537815126,0.008403361344537815,0.07983193277310924,0.06722689075630252,0.0546218487394958,0.09243697478991597,0.05042016806722689,0.05042016806722689,0.07983193277310924,0.08403361344537816,0.025210084033613446,0.046218487394957986,0.04201680672268908,0.037815126050420166,0.02100840336134454,0.037815126050420166,0.06302521008403361,0.07563025210084033,0.004201680672268907,0.046218487394957986,238.0,5.495159721374511,26929.060600000015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
eqFP670,0.042735042735042736,0.021367521367521368,0.038461538461538464,0.07692307692307693,0.05128205128205128,0.10256410256410256,0.03418803418803419,0.038461538461538464,0.08547008547008547,0.07692307692307693,0.038461538461538464,0.04700854700854701,0.04700854700854701,0.03418803418803419,0.02564102564102564,0.05555555555555555,0.0811965811965812,0.04700854700854701,0.008547008547008548,0.04700854700854701,234.0,6.708217430114746,26232.532400000007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mKeima,0.036036036036036036,0.018018018018018018,0.04954954954954955,0.07207207207207207,0.04504504504504504,0.0990990990990991,0.02252252252252252,0.04954954954954955,0.07657657657657657,0.05405405405405406,0.036036036036036036,0.04054054054054054,0.06306306306306306,0.04054054054054054,0.036036036036036036,0.06756756756756757,0.05855855855855856,0.06306306306306306,0.013513513513513514,0.05855855855855856,222.0,6.224119758605957,25052.09060000001,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
htFuncLib_acid.6,0.028225806451612902,0.012096774193548387,0.07258064516129033,0.07258064516129033,0.04838709677419355,0.09274193548387097,0.06451612903225806,0.04435483870967742,0.07258064516129033,0.09274193548387097,0.028225806451612902,0.04838709677419355,0.04435483870967742,0.024193548387096774,0.028225806451612902,0.036290322580645164,0.06048387096774194,0.07661290322580645,0.008064516129032258,0.04435483870967742,248.0,5.770260429382325,28216.582300000027,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
SOPP,0.02830188679245283,0.0,0.07547169811320754,0.07547169811320754,0.05660377358490566,0.07547169811320754,0.009433962264150943,0.08490566037735849,0.05660377358490566,0.11320754716981132,0.018867924528301886,0.03773584905660377,0.04716981132075472,0.07547169811320754,0.07547169811320754,0.03773584905660377,0.05660377358490566,0.03773584905660377,0.009433962264150943,0.02830188679245283,106.0,5.376252555847168,12312.879799999992,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
dTFP0.2,0.0375,0.004166666666666667,0.06666666666666667,0.08333333333333333,0.04583333333333333,0.08333333333333333,0.025,0.058333333333333334,0.10416666666666667,0.07083333333333333,0.03333333333333333,0.05,0.05416666666666667,0.016666666666666666,0.029166666666666667,0.05,0.04583333333333333,0.07083333333333333,0.008333333333333333,0.0625,240.0,5.919746971130371,27428.93320000003,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mStrawberry,0.046610169491525424,0.0,0.05508474576271186,0.1016949152542373,0.0423728813559322,0.11016949152542373,0.0211864406779661,0.046610169491525424,0.1016949152542373,0.059322033898305086,0.0423728813559322,0.029661016949152543,0.05084745762711865,0.0211864406779661,0.038135593220338986,0.046610169491525424,0.059322033898305086,0.0635593220338983,0.012711864406779662,0.05084745762711865,236.0,5.8371599197387685,26639.94380000001,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pHmScarlet,0.03879310344827586,0.004310344827586207,0.0603448275862069,0.09051724137931035,0.04741379310344827,0.10775862068965517,0.021551724137931036,0.034482758620689655,0.09051724137931035,0.0603448275862069,0.04310344827586207,0.021551724137931036,0.05603448275862069,0.034482758620689655,0.04741379310344827,0.04741379310344827,0.06465517241379311,0.06465517241379311,0.01293103448275862,0.05172413793103448,232.0,6.017396354675292,26361.582000000006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
SuperNova2,0.0502092050209205,0.02510460251046025,0.08368200836820083,0.0502092050209205,0.07112970711297072,0.08786610878661087,0.0502092050209205,0.07112970711297072,0.03765690376569038,0.029288702928870293,0.03765690376569038,0.02510460251046025,0.06276150627615062,0.03765690376569038,0.0502092050209205,0.06276150627615062,0.08368200836820083,0.06276150627615062,0.0041841004184100415,0.016736401673640166,239.0,5.472424125671386,26559.564099999996,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mEos3.2,0.05752212389380531,0.01327433628318584,0.0752212389380531,0.061946902654867256,0.061946902654867256,0.09292035398230089,0.03982300884955752,0.04424778761061947,0.09292035398230089,0.061946902654867256,0.035398230088495575,0.05309734513274336,0.048672566371681415,0.017699115044247787,0.04424778761061947,0.035398230088495575,0.05309734513274336,0.05309734513274336,0.008849557522123894,0.048672566371681415,226.0,7.121209526062012,25743.905800000015,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
KikGR1,0.04405286343612335,0.013215859030837005,0.05726872246696035,0.07048458149779736,0.05726872246696035,0.09251101321585903,0.03524229074889868,0.048458149779735685,0.07929515418502203,0.05726872246696035,0.039647577092511016,0.048458149779735685,0.04405286343612335,0.030837004405286344,0.039647577092511016,0.048458149779735685,0.05286343612334802,0.08370044052863436,0.00881057268722467,0.048458149779735685,227.0,6.449884223937987,25763.049500000016,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
mRFP1-Q66C,0.05333333333333334,0.0044444444444444444,0.06222222222222222,0.09777777777777778,0.044444444444444446,0.10222222222222223,0.022222222222222223,0.04,0.09777777777777778,0.05333333333333334,0.04,0.017777777777777778,0.05333333333333334,0.03111111111111111,0.04,0.05333333333333334,0.06222222222222222,0.06222222222222222,0.013333333333333334,0.04888888888888889,225.0,5.653001594543457,25398.4228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Gamillus,0.04602510460251046,0.016736401673640166,0.0502092050209205,0.058577405857740586,0.0502092050209205,0.09623430962343096,0.04602510460251046,0.0502092050209205,0.06694560669456066,0.07112970711297072,0.03347280334728033,0.03347280334728033,0.05439330543933055,0.04184100418410042,0.029288702928870293,0.05439330543933055,0.10460251046025104,0.05439330543933055,0.008368200836820083,0.03347280334728033,239.0,6.403958320617675,26545.80270000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
zoan2RFP,0.05194805194805195,0.03463203463203463,0.06493506493506493,0.06493506493506493,0.06060606060606061,0.07792207792207792,0.03896103896103896,0.06926406926406926,0.0735930735930736,0.05194805194805195,0.03463203463203463,0.05627705627705628,0.05194805194805195,0.025974025974025976,0.04329004329004329,0.05627705627705628,0.04329004329004329,0.04329004329004329,0.017316017316017316,0.03896103896103896,231.0,6.303637504577638,26404.735200000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
LSS-mKate1,0.04291845493562232,0.017167381974248927,0.04291845493562232,0.0815450643776824,0.04291845493562232,0.10300429184549356,0.030042918454935622,0.03862660944206009,0.0815450643776824,0.0815450643776824,0.034334763948497854,0.04291845493562232,0.04291845493562232,0.030042918454935622,0.03862660944206009,0.04721030042918455,0.07725321888412018,0.06437768240343347,0.008583690987124463,0.05150214592274678,233.0,6.661666297912599,26209.542100000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
mKate M41G S158C,0.04329004329004329,0.021645021645021644,0.04329004329004329,0.07792207792207792,0.04329004329004329,0.1038961038961039,0.030303030303030304,0.03896103896103896,0.08658008658008658,0.07792207792207792,0.03896103896103896,0.03896103896103896,0.047619047619047616,0.030303030303030304,0.03896103896103896,0.04329004329004329,0.07792207792207792,0.06060606060606061,0.008658008658008658,0.047619047619047616,231.0,7.6441850662231445,25963.412800000013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AzamiGreen,0.044444444444444446,0.017777777777777778,0.07111111111111111,0.057777777777777775,0.05333333333333334,0.08,0.02666666666666667,0.04888888888888889,0.08888888888888889,0.06222222222222222,0.04,0.04888888888888889,0.05333333333333334,0.03111111111111111,0.044444444444444446,0.03111111111111111,0.06222222222222222,0.06222222222222222,0.008888888888888889,0.06666666666666667,225.0,7.645435523986817,25962.36100000002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
pdae1GFP,0.036036036036036036,0.013513513513513514,0.036036036036036036,0.05855855855855856,0.06306306306306306,0.11711711711711711,0.04504504504504504,0.05855855855855856,0.04954954954954955,0.05405405405405406,0.04954954954954955,0.06306306306306306,0.04054054054054054,0.018018018018018018,0.036036036036036036,0.05855855855855856,0.08558558558558559,0.04954954954954955,0.0,0.06756756756756757,222.0,6.543043327331543,24916.893300000014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
htFuncLib_mid.12,0.024193548387096774,0.012096774193548387,0.07258064516129033,0.07258064516129033,0.04838709677419355,0.09274193548387097,0.06451612903225806,0.05241935483870968,0.07258064516129033,0.0846774193548387,0.028225806451612902,0.04838709677419355,0.04435483870967742,0.028225806451612902,0.028225806451612902,0.04032258064516129,0.056451612903225805,0.07661290322580645,0.008064516129032258,0.04435483870967742,248.0,5.770260429382325,28259.60700000003,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
